Sentence,Head,Relation,Tail
 Girls and young women are kept in the dark about their rights and often forced to bring to term pregnancies resulting from sexual violence.,Girls,lackInformationAbout,their rights
 Girls and young women are kept in the dark about their rights and often forced to bring to term pregnancies resulting from sexual violence.,young women,lackInformationAbout,their rights
 Girls and young women are kept in the dark about their rights and often forced to bring to term pregnancies resulting from sexual violence.,pregnancies,resultFrom,sexual violence
"Between 2018 and 2020, the government took important steps towards tackling two central pillars of this system by repealing for most migrant workers the requirement to obtain from their employer an 'exit permit’ to leave the country, and a ‘noobjection certificate’ (NOC) to change jobs.",migrant workers,requires,exit permit
"Between 2018 and 2020, the government took important steps towards tackling two central pillars of this system by repealing for most migrant workers the requirement to obtain from their employer an 'exit permit’ to leave the country, and a ‘noobjection certificate’ (NOC) to change jobs.",migrant workers,requires,noobjection certificate
"Between 2018 and 2020, the government took important steps towards tackling two central pillars of this system by repealing for most migrant workers the requirement to obtain from their employer an 'exit permit’ to leave the country, and a ‘noobjection certificate’ (NOC) to change jobs.",government,tookSteps,repealing
"Between 2018 and 2020, the government took important steps towards tackling two central pillars of this system by repealing for most migrant workers the requirement to obtain from their employer an 'exit permit’ to leave the country, and a ‘noobjection certificate’ (NOC) to change jobs.",exit permit,isRequiredFor,leaving the country
"Between 2018 and 2020, the government took important steps towards tackling two central pillars of this system by repealing for most migrant workers the requirement to obtain from their employer an 'exit permit’ to leave the country, and a ‘noobjection certificate’ (NOC) to change jobs.",noobjection certificate,isRequiredFor,changing jobs
"Many countries look to the United States as a leader in legal and social issues, so the decision could potentially influence the policies and attitudes towards abortion in other nations.",United States,isLeaderIn,legal and social issues
"Many countries look to the United States as a leader in legal and social issues, so the decision could potentially influence the policies and attitudes towards abortion in other nations.",decision,couldInfluence,policies and attitudes towards abortion
"Amnesty International recommends raising awareness about the differences between ""child"" and ""youth"" HRDs and the different context, needs, barriers, and challenges they face as defenders",Amnesty International,recommends,raising awareness
"Amnesty International recommends raising awareness about the differences between ""child"" and ""youth"" HRDs and the different context, needs, barriers, and challenges they face as defenders",child HRDs,has_difference,youth HRDs
"Amnesty International recommends raising awareness about the differences between ""child"" and ""youth"" HRDs and the different context, needs, barriers, and challenges they face as defenders",defenders,face,challenges
