Sentence,Head,Relation,Tail
"Architecturally, the school has a Catholic character",school,has,character
"Architecturally, the school has a Catholic character",Catholic,practiced by,architecturally
"Architecturally, the school has a Catholic character",Catholic,field of work,architecturally
"Architecturally, the school has a Catholic character",Catholic,has part,architecturally
"Architecturally, the school has a Catholic character",Catholic,has part,Architecturally
"Architecturally, the school has a Catholic character",Architecturally,religion,Catholic
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,golden statue,depicts,Virgin Mary
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,statue,depicts,Virgin Mary
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,golden statue of the Virgin Mary,location,Main Building
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,statue of the Virgin Mary,depicts,Virgin Mary
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,statue of the Virgin Mary,location,Main Building
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",Venite Ad Me Omnes,depicts,Christ
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",Christ,present in work,Venite Ad Me Omnes
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",statue of Christ,part of,Venite Ad Me Omnes
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",Venite Ad Me Omnes,has part,statue of Christ
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",Christ,notable work,Venite Ad Me Omnes
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",Venite Ad Me Omnes,characters,Christ
Next to the Main Building is the Basilica of the Sacred Heart,Basilica of the Sacred Heart,part of,Main Building
Next to the Main Building is the Basilica of the Sacred Heart,Main Building,has part,Basilica of the Sacred Heart
Next to the Main Building is the Basilica of the Sacred Heart,Basilica of the Sacred Heart,part of part of,Main Building Main Building
Next to the Main Building is the Basilica of the Sacred Heart,Main Building,has part has part,Basilica of the Sacred Heart Basilica of the Sacred Heart
Next to the Main Building is the Basilica of the Sacred Heart,Basilica of the Sacred Heart,part of part of part of,Main Building Main Building Main Building
Next to the Main Building is the Basilica of the Sacred Heart,Basilica of the Sacred Heart,located in the administrative territorial entity part of,Main Building Main Building
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,instance of,Marian place of prayer and reflection
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,instance of,Marian place of prayer
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,instance of,Marian
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,instance of,Marian place
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,part of,Marian
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",It,is,replica
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Lourdes,country,France
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",the grotto,located in the administrative territorial entity country,Lourdes France
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Saint Bernadette Soubirous,residence,Lourdes
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Saint Bernadette Soubirous,place of birth,Lourdes
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",the grotto,located in the administrative territorial entity,Lourdes
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary",Gold Dome,has part,statue of Mary
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary",statue of Mary,part of,Gold Dome
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary",statue of Mary,depicts,Mary
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary",statue of Mary,location,Gold Dome
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary",Gold Dome,depicts,Mary
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary",statue of Mary,instance of,statue
"As at most other universities, Notre Dame's students run a number of news media outlets",students,run,number
"As at most other universities, Notre Dame's students run a number of news media outlets",news media outlets,facet of,Notre Dame's students run a number of news media outlets
"As at most other universities, Notre Dame's students run a number of news media outlets",news media outlets,has part,Notre Dame's students run a number of news media outlets
"As at most other universities, Notre Dame's students run a number of news media outlets",students run a number of news media outlets,part of,Notre Dame's
"As at most other universities, Notre Dame's students run a number of news media outlets",students run a number of news media outlets,part of,Notre Dame
"As at most other universities, Notre Dame's students run a number of news media outlets",students run a number of news media outlets,facet of,Notre Dame's
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",outlets,include,newspapers
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",journals,subclass of,magazine
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",journals,subclass of,magazines
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",radio,instance of,outlets
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",television station,instance of,outlets
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",journals,instance of,outlets
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",journals,subclass of,outlets
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,inception,September 1876
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic,inception,September 1876
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,inception country of origin,September 1876 United States
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,country of origin,United States
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,inception country,September 1876 United States
