Sentence,Head,Relation,Tail
"Architecturally, the school has a Catholic character",school,hasCharacteristic,Catholic character
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,Main Building,locatedIn,gold dome
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,golden statue,isProducedBy,Atop
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,golden statue,hasCharacteristic,golden
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,golden statue,hasCharacteristic,statue of the Virgin Mary
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",Christ,locatedIn,Main Building
Next to the Main Building is the Basilica of the Sacred Heart,Main Building,locatedIn,Basilica of the Sacred Heart
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,locatedIn,basilica
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,is,Marian place of prayer and reflection
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Lourdes,locatedIn,France
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Saint Bernadette Soubirous,bornIn,Lourdes
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Virgin Mary,appearedTo,Saint Bernadette Soubirous
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",Mary,isLocatedIn,the main drive
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",Mary,isLocatedIn,the Gold Dome
"As at most other universities, Notre Dame's students run a number of news media outlets",Notre Dame,locatedIn,universities
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,partOf,newspapers
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,partOf,radio
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,partOf,television station
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,partOf,magazines
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,partOf,journals
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,isProducedBy,United States
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,partOf,United States
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,published,
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,hasCharacteristic,released twice a year
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,hasCharacteristic,student literature and artwork
The Dome yearbook is published annually,The Dome yearbook,published,annually
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",The Observer,published,daily
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",The Observer,hasCharacteristic,university and other news
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",The Observer,staffed,students
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",students,from,Notre Dame
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",students,from,Saint Mary's College
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Observer,isProducedBy,independent publication
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Observer,partOf,University
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",Scholastic,partOf,University
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Dome,partOf,University
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published",The Observer,published,1987
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published",Common Sense,published,1987
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",Irish Rover,wentIntoProduction,2003
"Neither paper is published as often as The Observer; however, all three are distributed to all students",The Observer,published,
"Neither paper is published as often as The Observer; however, all three are distributed to all students",The Observer,distributed,all students
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",Beyond Politics,published,Spring 2008
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",The university,locatedIn,Rome
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",The university,partOf,Congregation of Holy Cross
"Its main seminary, Moreau Seminary, is located on the campus across St",Moreau Seminary,locatedIn,campus
Joseph lake from the Main Building,Joseph Lake,locatedIn,Main Building
"Old College, the oldest building on campus and located near the shore of St",Old College,locatedIn,campus
"Old College, the oldest building on campus and located near the shore of St",Old College,locatedIn,shore of St
"Mary lake, houses undergraduate seminarians",Mary lake,locatedIn,
"Mary lake, houses undergraduate seminarians",Mary lake,hasProject,undergraduate seminarians
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Retired priests and brothers,reside,Fatima House
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Retired priests and brothers,reside,Holy Cross House
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Retired priests and brothers,reside,Columba Hall
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Fatima House,locatedIn,near the Grotto
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Holy Cross House,locatedIn,near the Grotto
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Columba Hall,locatedIn,near the Grotto
The university through the Moreau Seminary has ties to theologian Frederick Buechner,The university,hasTies,Moreau Seminary
The university through the Moreau Seminary has ties to theologian Frederick Buechner,The university,hasTies,Frederick Buechner
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",Buechner,praised,writers
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",Notre Dame,created,Buechner Prize for Preaching
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",Moreau Seminary,created,Buechner Prize for Preaching
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",The College of Engineering,partOf,College of Science
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",The College of Engineering,established,1920
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",College of Science,partOf,The College of Engineering
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",College of Science,occured,1870s
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",Fitzpatrick,locatedIn,college
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",Cushing,locatedIn,college
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",Stinson-Remick Halls of Engineering,locatedIn,college
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,partOf,aerospace and mechanical engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,partOf,chemical and biomolecular engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,partOf,civil engineering and geological sciences
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,partOf,computer science and engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,partOf,electrical engineering
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",the college,offers,five-year dual degree programs
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",the college,partOf,Colleges of Arts and Letters
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",the college,partOf,Colleges of Business
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",Colleges of Arts and Letters,awarding,B.A
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",Colleges of Business,awarding,B.A
"and Master of Business Administration (MBA) degrees, respectively.",Bachelor of Science,hasAward,
"and Master of Business Administration (MBA) degrees, respectively.",Master of Business Administration (MBA),hasAward,
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,Notre Dame,partOf,undergraduate colleges
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,undergraduate students,partOf,Notre Dame
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,First Year of Studies program,partOf,Notre Dame
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,The First Year of Studies program,established,1962
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,The First Year of Studies program,locatedIn,school
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,student,has,academic advisor
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,academic advisor,from,program
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,academic advisor,helps,student
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,student,choose,classes
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,classes,give,exposure
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,exposure,to,major
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",Learning Resource Center,hasProject,time management
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",Learning Resource Center,hasProject,collaborative learning
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",Learning Resource Center,hasProject,subject tutoring
"This program has been recognized previously, by U.S",This program,hasAward,U.S
"News & World Report, as outstanding.",News & World Report,hasAward,outstanding
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",The university,partOf,1854–1855 academic year
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",The university,hasProject,Master of Arts (MA)
"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",The program,hasProject,Master of Laws (LL.M.)
"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",The program,hasProject,Master of Civil Engineering
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",1924,occured,formal requirements developed for graduate degrees
Today each of the five colleges offer graduate education,five colleges,partOf,
Today each of the five colleges offer graduate education,,partOf,five colleges
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists",College of Arts and Letters,partOf,departments
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists",departments,offer,PhD programs
