Sentence,Head,Relation,Tail
"Architecturally, the school has a Catholic character",school,hasCharacter,Catholic character
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,Virgin Mary,isLocatedAt,Main Building
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,gold dome,isPartOf,Main Building
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,golden statue,isLocatedAt,gold dome
Atop the Main Building's gold dome is a golden statue of the Virgin Mary,Virgin Mary,isRepresentedBy,golden statue
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",Christ,isDepictedIn,copper statue
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",copper statue,hasLegend,Venite Ad Me Omnes
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes""",copper statue,isLocated,Main Building
Next to the Main Building is the Basilica of the Sacred Heart,Basilica of the Sacred Heart,locatedNextTo,Main Building
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,isLocatedBehind,basilica
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection",Grotto,isDedicatedTo,Mary
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Lourdes,isLocatedIn,France
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Virgin Mary,appearedTo,Saint Bernadette Soubirous
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",Saint Bernadette Soubirous,livedIn,Lourdes
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858",1858,isYearOf,Virgin Mary appeared to Saint Bernadette Soubirous
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",Mary,isLocatedAt,Gold Dome
"As at most other universities, Notre Dame's students run a number of news media outlets",Notre Dame's students,run,news media outlets
"As at most other universities, Notre Dame's students run a number of news media outlets",Notre Dame,similarTo,other universities
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,includes,three newspapers
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,includes,a radio station
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,includes,a television station
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,includes,several magazines
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals",nine student-run outlets,includes,several journals
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,isIssued,twice monthly
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,is,the oldest continuous collegiate publication in the United States
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States",Scholastic magazine,began,September 1876
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,isReleased,twice a year
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,focusesOn,student literature
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,focusesOn,artwork
The Dome yearbook is published annually,The Dome yearbook,isPublished,
The Dome yearbook is published annually,The Dome yearbook,hasFrequency,annually
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",The Observer,publishes,university news
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",The Observer,staffedBy,students
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",students,from,Notre Dame
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",students,from,Saint Mary's College
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Observer,isIndependentFrom,University
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",Scholastic,hasFacultyAdvisor,University
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Dome,hasFacultyAdvisor,University
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published",The Observer,hasBias,conservative
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published",Common Sense,hasIdeology,liberal
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",Irish Rover,isProduced,2003
"Neither paper is published as often as The Observer; however, all three are distributed to all students",The Observer,isComparedTo,Neither paper
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",Beyond Politics,wasFoundedIn,Spring 2008
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",the university,isSeatOf,Congregation of Holy Cross
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",Congregation of Holy Cross,hasHeadquarters,Rome
"Its main seminary, Moreau Seminary, is located on the campus across St",Moreau Seminary,isLocatedOn,campus
Joseph lake from the Main Building,Joseph,locatedIn,Main Building
"Old College, the oldest building on campus and located near the shore of St",Old College,locatedIn,campus
"Old College, the oldest building on campus and located near the shore of St",Old College,locatedNear,shore of St
"Mary lake, houses undergraduate seminarians",Mary lake,houses,undergraduate seminarians
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Fatima House,isLocationOf,Retired priests and brothers
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Holy Cross House,isLocationOf,Retired priests and brothers
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Columba Hall,isLocationOf,Retired priests and brothers
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Fatima House,isFormerly,retreat center
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Columba Hall,isLocatedNear,Grotto
The university through the Moreau Seminary has ties to theologian Frederick Buechner,university,hasTies,Moreau Seminary
The university through the Moreau Seminary has ties to theologian Frederick Buechner,Moreau Seminary,hasTies,Frederick Buechner
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",Buechner,praised,writers
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",Notre Dame,created,Moreau Seminary
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",Moreau Seminary,created,Buechner Prize
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching.",Buechner Prize,isFor,Preaching
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",College of Engineering,wasEstablished,1920
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",College of Science,offered,civil engineering
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",College of Science,offered,mechanical engineering
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",civil engineering,wasPartOf,College of Science
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",mechanical engineering,wasPartOf,College of Science
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",Fitzpatrick,houses,college
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",Cushing,houses,college
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",Stinson-Remick Halls of Engineering,houses,college
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,includes,aerospace and mechanical engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,includes,chemical and biomolecular engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,includes,civil engineering and geological sciences
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,includes,computer science and engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",college,includes,electrical engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",aerospace and mechanical engineering,offers,B.S
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",chemical and biomolecular engineering,offers,B.S
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",civil engineering and geological sciences,offers,B.S
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",computer science and engineering,offers,B.S
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S",electrical engineering,offers,B.S
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",the college,offers,five-year dual degree programs
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",five-year dual degree programs,isOfferedBy,the college
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",five-year dual degree programs,isWith,Colleges of Arts and Letters
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",five-year dual degree programs,isWith,Colleges of Business
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",Colleges of Arts and Letters,awards,B.A
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B.A",Colleges of Business,awards,B.A
"and Master of Business Administration (MBA) degrees, respectively.",Master of Business Administration,isTypeOf,MBA
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,Notre Dame,has,undergraduate colleges
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,undergraduate students,partOf,undergraduate colleges
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,undergraduate students,partOf,First Year of Studies program
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,First Year of Studies program,wasEstablished,1962
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,incoming freshmen,enrolledIn,school
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,student,hasAdvisor,academic advisor
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,academic advisor,helps,student
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,academic advisor,helpsToChoose,classes
