"Sentence","Head","Relation","Tail"
"Notre Dame is architecturally Catholic in character, with a golden statue of the Virgin Mary atop the Main Building.","Notre Dame","architecturally_has","Catholic character"
"A copper statue of Christ with arms upraised is located in front of the Main Building.","Statue of Christ","located_in_front_of","Main Building"
"The Grotto, a Marian place of prayer and reflection, is located behind the Basilica of the Sacred Heart.","Grotto","located_behind","Basilica of the Sacred Heart"
"The Grotto at Notre Dame is a replica of the grotto at Lourdes, France.","Notre Dame Grotto","replica_of","Lourdes grotto"
"Notre Dame has nine student-run media outlets, including three newspapers, a radio, and television station.","Notre Dame","has","nine student-run media outlets"
"The Scholastic magazine, started in 1876, claims to be the oldest continuous collegiate publication in the U.S.","Scholastic magazine","claims_to_be","oldest continuous collegiate publication in U.S."
"The Observer is a daily newspaper at Notre Dame, published independently of the university.","The Observer","published_independently_of","University of Notre Dame"
"The Juggler magazine focuses on student literature and artwork and is published twice a year.","The Juggler","focuses_on","student literature and artwork"
"The Dome yearbook is published annually at Notre Dame.","The Dome yearbook","published_annually_at","Notre Dame"
"In 1987, students published Common Sense in response to The Observer's conservative bias.","Common Sense","published_in_response_to","The Observer's conservative bias"
"In 2003, students created Irish Rover in response to The Observer's liberal bias.","Irish Rover","created_in_response_to","The Observer's liberal bias"
"The College of Engineering at Notre Dame was established in 1920.","College of Engineering","established_in","1920"
"Notre Dame's College of Engineering includes five departments of study.","College of Engineering","includes","five departments of study"
"The First Year of Studies program at Notre Dame was established in 1962.","First Year of Studies program","established_in","1962"
"The First Year of Studies program at Notre Dame offers academic advising and learning resources.","First Year of Studies program","offers","academic advising and learning resources"
"The First Year of Studies program at Notre Dame has been recognized by U.S. News & World Report.","First Year of Studies program","recognized_by","U.S. News & World Report"
"Notre Dame first offered graduate degrees in 1854-1855.","Notre Dame","first_offered_graduate_degrees_in","1854–1855"
"In 1924, Notre Dame introduced formal requirements for graduate degrees, including Doctorate (PhD) programs.","Notre Dame","introduced_formal_requirements_for","graduate degrees"
"The School of Architecture at Notre Dame offers a Master of Architecture program.","School of Architecture","offers","Master of Architecture program"
"The Joan B. Kroc Institute for International Peace Studies was founded in 1986.","Joan B. Kroc Institute for International Peace Studies","founded_in","1986"
"The Kroc Institute offers PhD, Master's, and undergraduate degrees in peace studies.","Kroc Institute","offers","PhD, Master's, and undergraduate degrees in peace studies"
"Notre Dame's Theodore M. Hesburgh Library was completed in 1963.","Theodore M. Hesburgh Library","completed_in","1963"
"The Word of Life mural on the Hesburgh Library is known as 'Touchdown Jesus'.","Word of Life mural","known_as","Touchdown Jesus"
"Notre Dame has a competitive admissions process.","Notre Dame","has","competitive admissions process"
"In 2015, Notre Dame admitted 3,577 students out of a pool of 18,156.","Notre Dame","admitted","3,577 students out of 18,156"
"In 2015, 39.1% of admitted students were admitted through early action.","39.1% of admitted students","admitted_through","early action"
"The Princeton Review ranked Notre Dame as the fifth highest 'dream school' for parents in 2007.","The Princeton Review","ranked","Notre Dame as fifth highest 'dream school' for parents"
"The Review of Politics at Notre Dame was founded in 1939.","Review of Politics","founded_in","1939"
"The Lobund Institute at Notre Dame began researching germ-free life in 1928.","Lobund Institute","began_researching","germ-free life in 1928"
"The Lobund Institute became an independent research organization in the 1940s.","Lobund Institute","became","independent research organization in 1940s"
"The Lobund Institute was raised to the status of an Institute in 1950.","Lobund Institute","raised_to_status_of","Institute in 1950"
"Father James Burns became president of Notre Dame in 1919 and brought academic reforms.","Father James Burns","became_president_of","Notre Dame in 1919"
"Father James Burns introduced the elective system at Notre Dame.","Father James Burns","introduced","elective system at Notre Dame"
"Notre Dame added the College of Commerce by 1921, expanding to five colleges and a law school.","Notre Dame","added","College of Commerce by 1921"
"The university president, John Jenkins, hoped Notre Dame would become a preeminent research institution in his inaugural address.","John Jenkins","hoped","Notre Dame would become preeminent research institution"
"In 2007, The Princeton Review ranked Notre Dame as the top school for intramural sports.","The Princeton Review","ranked","Notre Dame top school for intramural sports"
"Notre Dame has 29 residence halls on campus.","Notre Dame","has","29 residence halls"
"Notre Dame residence halls are single-sex with 15 male dorms and 14 female dorms.","Notre Dame","residence_halls_are","single-sex with 15 male dorms and 14 female dorms"
"There are no traditional fraternities or sororities at Notre Dame.","Notre Dame","has_no","traditional fraternities or sororities"
"Notre Dame's football stadium is used for the championship game of the intramural season.","Notre Dame","uses","football stadium for championship game of intramural season"
"Notre Dame is affiliated with the Congregation of Holy Cross.","Notre Dame","affiliated_with","Congregation of Holy Cross"
"Notre Dame celebrates Catholic Mass over 100 times per week.","Notre Dame","celebrates","Catholic Mass over 100 times per week"
"Notre Dame has 57 chapels on campus.","Notre Dame","has","57 chapels on campus"
"The university's main building was destroyed by a fire in 1879 and rebuilt by fall of that year.","Main Building","destroyed_by","fire in 1879"
"Father Sorin and Father Corby led the rebuilding of the Main Building after the 1879 fire.","Father Sorin and Father Corby","led","rebuilding of Main Building after 1879 fire"
"Notre Dame's Washington Hall hosted plays and musical acts after its opening in 1880.","Washington Hall","hosted","plays and musical acts after opening in 1880"
"The College of Science at Notre Dame began offering courses in 1880.","College of Science","began_offering_courses_in","1880"
"Father Julius Nieuwland at Notre Dame performed early work on neoprene in 1931.","Father Julius Nieuwland","performed_early_work_on","neoprene in 1931"
"Notre Dame began studying nuclear physics in 1936 with the construction of a nuclear accelerator.","Notre Dame","began_studying","nuclear physics in 1936"
"In 1913, Father John Augustine Zahm and Theodore Roosevelt embarked on an expedition through the Amazon.","Father John Augustine Zahm and Theodore Roosevelt","embarked_on","expedition through the Amazon in 1913"
"The university has a strong focus on research in family conflict, genome mapping, and marketing trends.","Notre Dame","focuses_on","research in family conflict, genome mapping, marketing trends"
"Notre Dame's study abroad program ranks sixth in the nation for participation.","Notre Dame","study_abroad_program","ranks_sixth_in_nation for participation"
"The median starting salary of Notre Dame alumni is $55,300.","Notre Dame alumni","median_starting_salary","$55,300"
"Father Joseph Carrier taught that scientific research aligns with the intellectual and moral culture endorsed by the Church.","Father Joseph Carrier","taught_that","scientific research aligns with intellectual and moral culture"
"Father John Augustine Zahm defended aspects of evolutionary theory in his 1896 book Evolution and Dogma.","Father John Augustine Zahm","defended_aspects_of","evolutionary theory in Evolution and Dogma 1896"
